epoch,train_loss,val_loss,val_accuracy,val_f1
1,0.46846989853041515,0.258565411567688,0.9166666666666666,0.9128919860627178
2,0.2858960345813206,0.1821301273504893,0.9366666666666666,0.939297124600639
3,0.2666074786867414,0.20534351229667663,0.9233333333333333,0.9198606271777003
4,0.1992737545285906,0.1005734521150589,0.96,0.961038961038961
5,0.138403575611966,0.06354073832432429,0.9766666666666667,0.9773462783171522
6,0.11404981826032912,0.04829836305230856,0.9866666666666667,0.9868421052631579
7,0.12254463953631264,0.06615420723954836,0.9766666666666667,0.977491961414791
8,0.11565320994172777,0.06497786772747835,0.9833333333333333,0.9834983498349835
9,0.10873234612601144,0.06239054851233959,0.9766666666666667,0.9767441860465116
10,0.08419829981667655,0.03475790583839019,0.99,0.9901639344262295
11,0.09251299615417208,0.05100434945275386,0.9766666666666667,0.9767441860465116
12,0.07227156249540193,0.0400507747878631,0.9833333333333333,0.9838187702265372
13,0.07649886053055525,0.04896224420517683,0.9833333333333333,0.9838187702265372
14,0.07553234784198659,0.10582782735427221,0.9666666666666667,0.9681528662420382
15,0.0721886064537934,0.11386491586764654,0.9666666666666667,0.9681528662420382
